,species
0,Streptomyces lividans
1,Elizabethkingia anophelis
2,Elizabethkingia bruuniana
3,Elizabethkingia miricola
4,Elizabethkingia ursingii
5,Prochlorococcus marinus
6,Prochlorococcus sp. MIT 0604
7,Geobacillus genomosp. 3
8,Lactococcus lactis
9,Agrobacterium rhizogenes
10,Agrobacterium tumefaciens
11,Achromobacter denitrificans
12,Burkholderia stabilis
13,Paraburkholderia fungorum
14,Comamonas testosteroni
15,Variovorax sp. PMC12
16,Janthinobacterium sp. 1_2014MBL_MicDiv
17,Janthinobacterium sp. LM6
18,Aeromonas hydrophila
19,Cedecea neteri
20,Hafnia alvei
21,Serratia ficaria
22,Serratia fonticola
23,Serratia liquefaciens
24,Serratia marcescens
25,Serratia plymuthica
26,Serratia proteamaculans
27,Acinetobacter radioresistens
28,Pseudomonas azotoformans
29,Pseudomonas sp. JY-Q
30,Pseudomonas sp. NS1(2017)
31,Pseudomonas stutzeri
32,Pseudomonas tolaasii
